procedure,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench,significant
Expanding,iv_skew_90_100,60,6m,expanding,expanding,-0.322,0.5444097051292589,0.29307978438182447,0.521565,0.7301430235763181,0.9955887395331636,0
Expanding,iv_skew_90_100,72,6m,expanding,expanding,-1.294,0.2806495181714291,0.38948961585960284,0.524802,0.7984416530860847,0.9955887395331636,0
Expanding,iv_skew_90_100,120,6m,expanding,expanding,-2.069,0.07842281775062941,0.4687458617419063,0.498575,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_90_110,48,12m,expanding,expanding,-14.81,-1.7766016867760452,0.9621831010357474,-0.69752,0.9621831010357474,0.9955887395331636,0
Expanding,iv_skew_90_110,60,12m,expanding,expanding,-11.424,-1.339058751818813,0.9097242263772243,-0.600759,0.9290800609809949,0.9955887395331636,0
Expanding,iv_skew_90_110,72,12m,expanding,expanding,-6.236,-0.7495126874504181,0.7732258727587739,-0.539982,0.8631358579632824,0.9955887395331636,0
Expanding,iv_skew_90_110,120,12m,expanding,expanding,-7.299,-0.9833412680621967,0.8372802471368794,-0.411929,0.900742040827493,0.9955887395331636,0
Expanding,iv_skew_90_110,48,1m,expanding,expanding,-2.483,-1.2407384230248268,0.8926488023574003,-0.046353,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_110,60,1m,expanding,expanding,-2.445,-1.1436559310890146,0.8736168218762228,-0.035379,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_110,72,1m,expanding,expanding,-2.336,-1.0642745361103694,0.8563978250551088,-0.026479,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_110,120,1m,expanding,expanding,-2.289,-0.9768931438193302,0.8356889717841494,-0.001209,0.9992938016691973,0.9955887395331636,0
Expanding,iv_skew_90_110,48,3m,expanding,expanding,-2.642,-0.8699166446053145,0.8078270206730663,0.00855,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_110,60,3m,expanding,expanding,-0.74,0.031594711748009374,0.48739763034993944,0.040218,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_110,72,3m,expanding,expanding,0.281,0.44959671063858864,0.32650063016655007,0.065038,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_110,120,3m,expanding,expanding,1.222,0.7570027288778272,0.22452411378518458,0.109774,0.9826253444871588,0.9955887395331636,0
Expanding,iv_skew_90_110,48,6m,expanding,expanding,-6.069,-1.4435533280502244,0.9255676692777363,-0.052319,0.945260598411305,0.9955887395331636,0
Expanding,iv_skew_90_110,60,6m,expanding,expanding,-3.356,-0.6881217525184712,0.7543119433465547,-6.36e-4,0.8939993402625833,0.9955887395331636,0
Expanding,iv_skew_90_110,72,6m,expanding,expanding,-1.32,-0.14036487455352614,0.5558141454487058,0.031625,0.8449110364940271,0.9955887395331636,0
Expanding,iv_skew_90_110,120,6m,expanding,expanding,-1.112,-0.02418935792739952,0.5096492166041243,0.070718,0.8449110364940271,0.9955887395331636,0
