predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
iv_skew_80_110,48,1m,rolling,rolling,-10.621,-1.1174651588040996,0.8681022556871307,0.099105,0.9999271463163794,0.9999271463163794
iv_skew_80_110,48,3m,rolling,rolling,-13.278,-0.7671129897345221,0.7784928302952805,0.32281,0.9749849786839685,0.9999271463163794
iv_skew_80_110,48,6m,rolling,rolling,-22.802,-0.5756151550926293,0.7175623324490635,0.475683,0.906394525198817,0.9999271463163794
iv_skew_80_110,48,12m,rolling,rolling,-18.45,-0.8968283662651998,0.8150947454899821,0.146164,0.8598801710663547,0.9999271463163794
iv_skew_80_110,60,1m,rolling,rolling,-7.6,-1.2522521336242707,0.8947609976660588,0.079341,0.9999271463163794,0.9999271463163794
iv_skew_80_110,60,3m,rolling,rolling,-8.944,-0.4772150767133041,0.6833955118669301,0.272696,0.9749849786839685,0.9999271463163794
iv_skew_80_110,60,6m,rolling,rolling,-21.528,-0.7798754467931485,0.7822679039984277,0.376969,0.92905947539421,0.9999271463163794
iv_skew_80_110,60,12m,rolling,rolling,-6.446,0.05970398744029031,0.4761956979423188,0.033022,0.5967805739642591,0.9060301144506683
iv_skew_80_110,72,1m,rolling,rolling,-4.788,-1.0746628093033437,0.8587371398987136,0.057319,0.9999271463163794,0.9999271463163794
iv_skew_80_110,72,3m,rolling,rolling,-6.521,-0.2551055900487853,0.6006792266274507,0.208867,0.9749849786839685,0.9999271463163794
iv_skew_80_110,72,6m,rolling,rolling,-16.278,-0.7638742767223098,0.7775289160379164,0.253824,0.92905947539421,0.9999271463163794
iv_skew_80_110,72,12m,rolling,rolling,2.231,1.0229724413189525,0.1531604380473097,-0.105959,0.38693163296162447,0.6097891374788068
iv_skew_80_110,120,1m,rolling,rolling,-1.477,-0.8813928178762628,0.8109473781752785,0.025364,0.9999271463163794,0.9999271463163794
iv_skew_80_110,120,3m,rolling,rolling,-0.229,0.2151454904410657,0.4148269439971141,0.074802,0.9050769687209762,0.8791151922001155
iv_skew_80_110,120,6m,rolling,rolling,-1.141,-0.17161843129982957,0.5681312418191267,0.027394,0.8140387942483008,0.9916472584479301
iv_skew_80_110,120,12m,rolling,rolling,-6.564,-0.4743786223214972,0.6823850326353142,-0.306629,0.7529765877355191,0.9999271463163794
iv_skew_80_120,48,1m,rolling,rolling,-9.152,-1.5132291783645397,0.934889272492724,0.055776,0.9999271463163794,0.9999271463163794
iv_skew_80_120,48,3m,rolling,rolling,-11.406,-1.9003134799593395,0.9713040033021819,0.169426,0.9749849786839685,0.9999271463163794
iv_skew_80_120,48,6m,rolling,rolling,-20.982,-1.2152879556350586,0.887871857992971,0.258715,0.9399974897192711,0.9999271463163794
iv_skew_80_120,48,12m,rolling,rolling,-17.526,-1.4673926490069746,0.9288653634786932,-0.079076,0.930960579033112,0.9999271463163794
iv_skew_80_120,60,1m,rolling,rolling,-7.722,-1.1312440173673466,0.8710238000444432,0.046103,0.9999271463163794,0.9999271463163794
iv_skew_80_120,60,3m,rolling,rolling,-7.508,-1.5092814707782312,0.9343865660916563,0.139877,0.9749849786839685,0.9999271463163794
iv_skew_80_120,60,6m,rolling,rolling,-18.928,-1.4078631971178748,0.920414208683453,0.189235,0.9399974897192711,0.9999271463163794
iv_skew_80_120,60,12m,rolling,rolling,-4.249,-0.10162306374047618,0.5404720639981996,-0.167237,0.6405594832571263,0.9653082445363206
