index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
FTSE,skew_ratio_90_120,120,12m,expanding,expanding,12.707420407787229,3.048417832648533,0.0011502490767502703,-0.09565339046460614,0.011502490767502703,0.034606895766903074
DAX,skew_ratio_90_120,120,1m,expanding,expanding,-0.27981510340850946,-0.015700518626518962,0.5062633433777067,-0.014151068984794594,0.9933721268933438,0.8799092814739201
DAX,skew_ratio_90_120,120,3m,expanding,expanding,-0.39511243076670866,-0.02873292991289611,0.5114612035345588,-0.021799293555562125,0.8799092814739201,0.8799092814739201
DAX,skew_ratio_90_120,120,6m,expanding,expanding,1.1570452776089701,0.682247257906565,0.24754130846802602,-0.06431572994422981,0.4001493831722574,0.7155324323059178
DAX,skew_ratio_90_120,120,12m,expanding,expanding,2.800255466039059,1.1375909288419472,0.12764566809249095,-0.22482202146514924,0.26124479622434893,0.6091148848291909
ASX,skew_ratio_90_120,120,1m,expanding,expanding,-0.5170018354465844,-0.5396612056305299,0.7052846507022378,-0.005255673498823931,0.9933721268933438,0.9434501192775976
ASX,skew_ratio_90_120,120,3m,expanding,expanding,0.4269333963157207,0.4274136780052673,0.33453902329832746,-0.02294424525840752,0.8363475582458186,0.7782850969315067
ASX,skew_ratio_90_120,120,6m,expanding,expanding,4.183367926108761,0.9640653034232107,0.16750659332802748,-0.05666864958724658,0.33501318665605495,0.6091148848291909
ASX,skew_ratio_90_120,120,12m,expanding,expanding,4.555074232276956,0.7966989312862061,0.2128129523907889,-0.1078795837565911,0.34620060643409745,0.7093765079692964
ESTOX,skew_ratio_90_120,120,1m,expanding,expanding,0.15235047361952248,0.34836436935330056,0.3637832788736997,-0.021441455973217245,0.9933721268933438,0.7782850969315067
ESTOX,skew_ratio_90_120,120,3m,expanding,expanding,3.0102476183303306,1.1410630470092449,0.12692184375630297,-0.04911989803370667,0.8363475582458186,0.6091148848291909
ESTOX,skew_ratio_90_120,120,6m,expanding,expanding,4.93294895175278,1.6085136106749083,0.05386136885698854,-0.07741893326601135,0.2693068442849427,0.5343868399860155
ESTOX,skew_ratio_90_120,120,12m,expanding,expanding,2.4230141603299615,1.1234538360813917,0.13062239811217446,-0.11277850691646851,0.26124479622434893,0.6091148848291909
KOSPI,skew_ratio_90_120,120,1m,expanding,expanding,-1.4004980859828597,-0.23952491885628657,0.5946507118611829,0.01650492800008762,0.9933721268933438,0.9434501192775976
KOSPI,skew_ratio_90_120,120,3m,expanding,expanding,-1.0542117684678276,0.5185803645154736,0.30202670237113477,0.060924547585634516,0.8363475582458186,0.7782850969315067
KOSPI,skew_ratio_90_120,120,6m,expanding,expanding,-3.179939721686309,-0.4623744163925057,0.6780935787338365,0.06657977530523909,0.7534373097042628,0.9434501192775976
KOSPI,skew_ratio_90_120,120,12m,expanding,expanding,-4.791608230881184,-0.45773706628527966,0.6764293226562293,0.127883422323543,0.7515881362846993,0.9434501192775976
NASDAQ,skew_ratio_90_120,120,1m,expanding,expanding,-1.3450426286013784,-1.1336753930541883,0.8715346324417692,-0.008724573500037037,0.9933721268933438,0.9933721268933438
NASDAQ,skew_ratio_90_120,120,3m,expanding,expanding,-2.0394324139304976,-1.0963933828744443,0.8635466707422873,-0.011252450526929305,0.9473910579742066,0.9933721268933438
NASDAQ,skew_ratio_90_120,120,6m,expanding,expanding,-1.9385601197688507,-0.9687558678768644,0.8336664947140324,-0.02032672562411976,0.8336664947140324,0.9933721268933438
NASDAQ,skew_ratio_90_120,120,12m,expanding,expanding,-3.398728250815264,-1.4080945626620363,0.9204484645593118,-0.021614860770683034,0.9204484645593118,0.9933721268933438
NIFTY,skew_ratio_90_120,120,1m,expanding,expanding,-7.326803927390846,0.26983758018971243,0.3936426050080879,0.05169685105710268,0.9933721268933438,0.7952766186493985
NIFTY,skew_ratio_90_120,120,3m,expanding,expanding,-2.440043983276863,-0.5463508026469633,0.7075875894581982,0.02415135390696931,0.9473910579742066,0.9434501192775976
